District,Number_of_Cases,Week_Start_Date,Month,Year,Week,Week_End_Date
Kegalle,3,10/11/2008,10,2008,42,10/17/2008
Kilinochchi,0,10/11/2008,10,2008,42,10/17/2008
Kurunegala,2,10/11/2008,10,2008,42,10/17/2008
Mannar,0,10/11/2008,10,2008,42,10/17/2008
Matale,2,10/11/2008,10,2008,42,10/17/2008
Matara,11,10/11/2008,10,2008,42,10/17/2008
Monaragala,0,10/11/2008,10,2008,42,10/17/2008
Mullaitivu,0,10/11/2008,10,2008,42,10/17/2008
Nuwara Eliya,2,10/11/2008,10,2008,42,10/17/2008
Polonnaruwa,0,10/11/2008,10,2008,42,10/17/2008
Puttalam,0,10/11/2008,10,2008,42,10/17/2008
Ratnapura,0,10/11/2008,10,2008,42,10/17/2008
Trincomalee,0,10/11/2008,10,2008,42,10/17/2008
Vavuniya,0,10/11/2008,10,2008,42,10/17/2008
Ampara,0,10/18/2008,10,2008,43,10/24/2008
Anuradhapura,0,10/18/2008,10,2008,43,10/24/2008
Badulla,1,10/18/2008,10,2008,43,10/24/2008
Batticaloa,0,10/18/2008,10,2008,43,10/24/2008
Colombo,14,10/18/2008,10,2008,43,10/24/2008
Galle,1,10/18/2008,10,2008,43,10/24/2008
Gampaha,11,10/18/2008,10,2008,43,10/24/2008
Hambantota,0,10/18/2008,10,2008,43,10/24/2008
Jaffna,0,10/18/2008,10,2008,43,10/24/2008
Kalmunai,1,10/18/2008,10,2008,43,10/24/2008
Kalutara,0,10/18/2008,10,2008,43,10/24/2008
Kandy,10,10/18/2008,10,2008,43,10/24/2008
Kegalle,3,10/18/2008,10,2008,43,10/24/2008
Kilinochchi,0,10/18/2008,10,2008,43,10/24/2008
Kurunegala,4,10/18/2008,10,2008,43,10/24/2008
Mannar,0,10/18/2008,10,2008,43,10/24/2008
Matale,5,10/18/2008,10,2008,43,10/24/2008
Matara,7,10/18/2008,10,2008,43,10/24/2008
Monaragala,2,10/18/2008,10,2008,43,10/24/2008
Mullaitivu,0,10/18/2008,10,2008,43,10/24/2008
Nuwara Eliya,0,10/18/2008,10,2008,43,10/24/2008
Polonnaruwa,0,10/18/2008,10,2008,43,10/24/2008
Puttalam,0,10/18/2008,10,2008,43,10/24/2008
Ratnapura,1,10/18/2008,10,2008,43,10/24/2008
Trincomalee,0,10/18/2008,10,2008,43,10/24/2008
Vavuniya,0,10/18/2008,10,2008,43,10/24/2008
Ampara,2,10/25/2008,10,2008,44,10/31/2008
Anuradhapura,0,10/25/2008,10,2008,44,10/31/2008
Badulla,1,10/25/2008,10,2008,44,10/31/2008
Batticaloa,0,10/25/2008,10,2008,44,10/31/2008
Colombo,22,10/25/2008,10,2008,44,10/31/2008
Galle,5,10/25/2008,10,2008,44,10/31/2008
Gampaha,10,10/25/2008,10,2008,44,10/31/2008
Hambantota,0,10/25/2008,10,2008,44,10/31/2008
Jaffna,0,10/25/2008,10,2008,44,10/31/2008
Kalmunai,0,10/25/2008,10,2008,44,10/31/2008
Kalutara,3,10/25/2008,10,2008,44,10/31/2008
Kandy,8,10/25/2008,10,2008,44,10/31/2008
Kegalle,7,10/25/2008,10,2008,44,10/31/2008
Kilinochchi,0,10/25/2008,10,2008,44,10/31/2008
Kurunegala,5,10/25/2008,10,2008,44,10/31/2008
Mannar,0,10/25/2008,10,2008,44,10/31/2008
Matale,0,10/25/2008,10,2008,44,10/31/2008
Matara,7,10/25/2008,10,2008,44,10/31/2008
Monaragala,0,10/25/2008,10,2008,44,10/31/2008
Mullaitivu,0,10/25/2008,10,2008,44,10/31/2008
Nuwara Eliya,0,10/25/2008,10,2008,44,10/31/2008
Polonnaruwa,2,10/25/2008,10,2008,44,10/31/2008
Puttalam,1,10/25/2008,10,2008,44,10/31/2008
Ratnapura,4,10/25/2008,10,2008,44,10/31/2008
Trincomalee,1,10/25/2008,10,2008,44,10/31/2008
Vavuniya,0,10/25/2008,10,2008,44,10/31/2008
Ampara,0,11/1/2008,11,2008,45,11/7/2008
Anuradhapura,0,11/1/2008,11,2008,45,11/7/2008
Badulla,3,11/1/2008,11,2008,45,11/7/2008
Batticaloa,0,11/1/2008,11,2008,45,11/7/2008
Colombo,11,11/1/2008,11,2008,45,11/7/2008
Galle,2,11/1/2008,11,2008,45,11/7/2008
Gampaha,11,11/1/2008,11,2008,45,11/7/2008
Hambantota,0,11/1/2008,11,2008,45,11/7/2008
Jaffna,0,11/1/2008,11,2008,45,11/7/2008
Kalmunai,0,11/1/2008,11,2008,45,11/7/2008
Kalutara,4,11/1/2008,11,2008,45,11/7/2008
Kandy,11,11/1/2008,11,2008,45,11/7/2008
Kegalle,6,11/1/2008,11,2008,45,11/7/2008
Kilinochchi,0,11/1/2008,11,2008,45,11/7/2008
Kurunegala,8,11/1/2008,11,2008,45,11/7/2008
Mannar,0,11/1/2008,11,2008,45,11/7/2008
Matale,3,11/1/2008,11,2008,45,11/7/2008
Matara,5,11/1/2008,11,2008,45,11/7/2008
Monaragala,0,11/1/2008,11,2008,45,11/7/2008
Mullaitivu,0,11/1/2008,11,2008,45,11/7/2008
Nuwara Eliya,1,11/1/2008,11,2008,45,11/7/2008
Polonnaruwa,0,11/1/2008,11,2008,45,11/7/2008
Puttalam,1,11/1/2008,11,2008,45,11/7/2008
Ratnapura,10,11/1/2008,11,2008,45,11/7/2008
Trincomalee,0,11/1/2008,11,2008,45,11/7/2008
Vavuniya,0,11/1/2008,11,2008,45,11/7/2008
Ampara,0,11/8/2008,11,2008,46,11/14/2008
Anuradhapura,1,11/8/2008,11,2008,46,11/14/2008
Badulla,2,11/8/2008,11,2008,46,11/14/2008
Batticaloa,0,11/8/2008,11,2008,46,11/14/2008
Colombo,20,11/8/2008,11,2008,46,11/14/2008
Galle,0,11/8/2008,11,2008,46,11/14/2008
Gampaha,9,11/8/2008,11,2008,46,11/14/2008
Hambantota,7,11/8/2008,11,2008,46,11/14/2008
Jaffna,0,11/8/2008,11,2008,46,11/14/2008
Kalmunai,0,11/8/2008,11,2008,46,11/14/2008
Kalutara,9,11/8/2008,11,2008,46,11/14/2008
Kandy,6,11/8/2008,11,2008,46,11/14/2008
Kegalle,5,11/8/2008,11,2008,46,11/14/2008
Kilinochchi,0,11/8/2008,11,2008,46,11/14/2008
Kurunegala,4,11/8/2008,11,2008,46,11/14/2008
Mannar,0,11/8/2008,11,2008,46,11/14/2008
Matale,1,11/8/2008,11,2008,46,11/14/2008
Matara,6,11/8/2008,11,2008,46,11/14/2008
Monaragala,2,11/8/2008,11,2008,46,11/14/2008
Mullaitivu,0,11/8/2008,11,2008,46,11/14/2008
Nuwara Eliya,0,11/8/2008,11,2008,46,11/14/2008
Polonnaruwa,0,11/8/2008,11,2008,46,11/14/2008
Puttalam,1,11/8/2008,11,2008,46,11/14/2008
Ratnapura,2,11/8/2008,11,2008,46,11/14/2008
Trincomalee,1,11/8/2008,11,2008,46,11/14/2008
Vavuniya,0,11/8/2008,11,2008,46,11/14/2008
Ampara,0,11/15/2008,11,2008,47,11/21/2008
Anuradhapura,0,11/15/2008,11,2008,47,11/21/2008
Badulla,3,11/15/2008,11,2008,47,11/21/2008
Batticaloa,0,11/15/2008,11,2008,47,11/21/2008
Colombo,16,11/15/2008,11,2008,47,11/21/2008
Galle,0,11/15/2008,11,2008,47,11/21/2008
Gampaha,5,11/15/2008,11,2008,47,11/21/2008
Hambantota,2,11/15/2008,11,2008,47,11/21/2008
Jaffna,0,11/15/2008,11,2008,47,11/21/2008
Kalmunai,1,11/15/2008,11,2008,47,11/21/2008
Kalutara,3,11/15/2008,11,2008,47,11/21/2008
Kandy,8,11/15/2008,11,2008,47,11/21/2008
Kegalle,8,11/15/2008,11,2008,47,11/21/2008
Kilinochchi,0,11/15/2008,11,2008,47,11/21/2008
Kurunegala,8,11/15/2008,11,2008,47,11/21/2008
Mannar,0,11/15/2008,11,2008,47,11/21/2008
Matale,7,11/15/2008,11,2008,47,11/21/2008
Matara,6,11/15/2008,11,2008,47,11/21/2008
Monaragala,0,11/15/2008,11,2008,47,11/21/2008
Mullaitivu,0,11/15/2008,11,2008,47,11/21/2008
Nuwara Eliya,0,11/15/2008,11,2008,47,11/21/2008
Polonnaruwa,0,11/15/2008,11,2008,47,11/21/2008
Puttalam,2,11/15/2008,11,2008,47,11/21/2008
Ratnapura,2,11/15/2008,11,2008,47,11/21/2008
Trincomalee,2,11/15/2008,11,2008,47,11/21/2008
Vavuniya,0,11/15/2008,11,2008,47,11/21/2008
Ampara,0,11/22/2008,11,2008,48,11/28/2008
Anuradhapura,0,11/22/2008,11,2008,48,11/28/2008
Badulla,6,11/22/2008,11,2008,48,11/28/2008
Batticaloa,0,11/22/2008,11,2008,48,11/28/2008
Colombo,18,11/22/2008,11,2008,48,11/28/2008
Galle,1,11/22/2008,11,2008,48,11/28/2008
Gampaha,4,11/22/2008,11,2008,48,11/28/2008
Hambantota,3,11/22/2008,11,2008,48,11/28/2008
Jaffna,0,11/22/2008,11,2008,48,11/28/2008
Kalmunai,0,11/22/2008,11,2008,48,11/28/2008
Kalutara,5,11/22/2008,11,2008,48,11/28/2008
Kandy,13,11/22/2008,11,2008,48,11/28/2008
Kegalle,6,11/22/2008,11,2008,48,11/28/2008
Kilinochchi,0,11/22/2008,11,2008,48,11/28/2008
Kurunegala,4,11/22/2008,11,2008,48,11/28/2008
Mannar,0,11/22/2008,11,2008,48,11/28/2008
Matale,8,11/22/2008,11,2008,48,11/28/2008
Matara,8,11/22/2008,11,2008,48,11/28/2008
Monaragala,0,11/22/2008,11,2008,48,11/28/2008
Mullaitivu,0,11/22/2008,11,2008,48,11/28/2008
Nuwara Eliya,0,11/22/2008,11,2008,48,11/28/2008
Polonnaruwa,0,11/22/2008,11,2008,48,11/28/2008
Puttalam,1,11/22/2008,11,2008,48,11/28/2008
Ratnapura,4,11/22/2008,11,2008,48,11/28/2008
Trincomalee,4,11/22/2008,11,2008,48,11/28/2008
Vavuniya,0,11/22/2008,11,2008,48,11/28/2008
Ampara,0,11/29/2008,11,2008,49,12/5/2008
Anuradhapura,0,11/29/2008,11,2008,49,12/5/2008
Badulla,0,11/29/2008,11,2008,49,12/5/2008
Batticaloa,1,11/29/2008,11,2008,49,12/5/2008
Colombo,20,11/29/2008,11,2008,49,12/5/2008
Galle,3,11/29/2008,11,2008,49,12/5/2008
Gampaha,13,11/29/2008,11,2008,49,12/5/2008
Hambantota,13,11/29/2008,11,2008,49,12/5/2008
Jaffna,0,11/29/2008,11,2008,49,12/5/2008
Kalmunai,0,11/29/2008,11,2008,49,12/5/2008
Kalutara,8,11/29/2008,11,2008,49,12/5/2008
Kandy,6,11/29/2008,11,2008,49,12/5/2008
