horizon,District,split,approach,n,mae,mase,smape_pct
3,Batticaloa,all,recursive,773,16.98020698576973,0.517633460731707,50.96750409018315
3,Batticaloa,all,direct,773,16.877694665809198,0.5145084218559574,51.22478703323582
3,Colombo,pre_holdout,sarima_alone,672,92.48393325219753,0.6070644444728946,51.91695571114947
3,Colombo,pre_holdout,recursive,672,78.68764880952382,0.5165056473233071,48.70630583330629
3,Colombo,pre_holdout,direct,672,90.0626998532466,0.5911714708872536,50.48779829986643
3,Colombo,holdout,sarima_alone,101,67.82070979867163,0.44517507063000816,28.08489893268376
3,Colombo,holdout,recursive,101,57.8871287128713,0.3799710544142019,24.445581806398415
3,Colombo,holdout,direct,101,56.09888829025934,0.3682330460860245,24.377865765603474
3,Colombo,all,sarima_alone,773,89.26144221881316,0.5859120165839794,48.80306472198384
3,Colombo,all,recursive,773,75.9698576972833,0.4986660692071108,45.53640528127823
3,Colombo,all,direct,773,85.62499614320556,0.5620423882159417,47.07628059487217
3,Galle,pre_holdout,sarima_alone,672,17.819632200474437,0.45529962489326736,65.86562553119322
3,Galle,pre_holdout,recursive,672,18.15327380952381,0.463824318205676,62.76359388546986
3,Galle,pre_holdout,direct,672,17.445096446269,0.4457300677620987,62.906214410945225
3,Galle,holdout,sarima_alone,101,22.36883502159125,0.5715338049658916,29.140219985925814
3,Galle,holdout,recursive,101,23.02970297029703,0.588419278569646,31.748259514658763
3,Galle,holdout,direct,101,22.47375966507906,0.5742146768427414,29.47848782989977
3,Galle,all,sarima_alone,773,18.414029981758784,0.4704867557953826,61.067092594489445
3,Galle,all,recursive,773,18.790426908150064,0.48010386671377553,58.71113751877915
3,Galle,all,direct,773,18.102140411469282,0.46251783686577913,58.5385554398125
3,Gampaha,pre_holdout,sarima_alone,672,62.69403224299927,0.525559739429972,56.28245943681072
3,Gampaha,pre_holdout,recursive,672,64.82410714285714,0.5434160101033364,62.32264439003485
3,Gampaha,pre_holdout,direct,672,63.84942855198536,0.5352453468373164,58.46778148115471
3,Gampaha,holdout,sarima_alone,101,46.12654805111061,0.3866756644489522,28.664455006549133
3,Gampaha,holdout,recursive,101,52.33762376237625,0.4387426828812705,31.234660985854223
3,Gampaha,holdout,direct,101,48.63216828912081,0.40768010573763885,30.572998408622848
3,Gampaha,all,sarima_alone,773,60.52932861637475,0.5074131785333575,52.673897409053396
3,Gampaha,all,recursive,773,63.19262613195343,0.5297394175426267,58.26069571756106
3,Gampaha,all,direct,773,61.86114486951535,0.5185777021399458,54.823055620448734
3,Hambantota,pre_holdout,sarima_alone,672,9.028488741913206,0.5031517883049765,58.91629479025314
3,Hambantota,pre_holdout,recursive,672,9.114732142857143,0.5079580767830246,61.215552206623926
3,Hambantota,pre_holdout,direct,672,9.091500595635884,0.5066633978103187,58.61627157234345
3,Hambantota,holdout,sarima_alone,101,11.13474077084688,0.620531839969569,42.9150571180743
3,Hambantota,holdout,recursive,101,11.200990099009898,0.6242238718136671,48.00625064925402
3,Hambantota,holdout,direct,101,9.949939456890514,0.5545036355884992,39.82117056319409
3,Hambantota,all,sarima_alone,773,9.303691141553958,0.5184886385224718,56.82557680203833
3,Hambantota,all,recursive,773,9.38732212160414,0.5231493384881927,59.48962794104261
3,Hambantota,all,direct,773,9.203664017352207,0.5129141921383862,56.160508051096244
3,Jaffna,pre_holdout,sarima_alone,672,28.625793525429398,0.5684387113523187,62.51781808801737
3,Jaffna,pre_holdout,recursive,672,26.588095238095246,0.527974974074675,65.68395763869779
3,Jaffna,pre_holdout,direct,672,27.777051912638875,0.5515847649903726,61.285544427349556
3,Jaffna,holdout,sarima_alone,101,17.384484793077423,0.3452136313539164,62.28664776923989
3,Jaffna,holdout,recursive,101,18.177227722772276,0.3609555799217036,67.22719530049922
3,Jaffna,holdout,direct,101,15.347985763277354,0.3047737084172322,49.06140444355023
3,Jaffna,all,sarima_alone,773,27.1570067441001,0.5392721743796944,62.48761342799598
3,Jaffna,all,recursive,773,25.48913324708926,0.5061522589266151,65.885596712232
3,Jaffna,all,direct,773,26.153073023783097,0.5193364898106996,59.688341143567236
3,Kalutara,pre_holdout,sarima_alone,672,28.998144546531243,0.586116504964031,54.64724890753182
3,Kalutara,pre_holdout,recursive,672,27.42782738095238,0.554376929099195,52.68269799165359
3,Kalutara,pre_holdout,direct,672,29.01379529183499,0.5864328410703911,53.85289770499623
3,Kalutara,holdout,sarima_alone,101,21.741391800358212,0.4394415151159701,32.412259810857186
3,Kalutara,holdout,recursive,101,20.81089108910891,0.42063404197337473,32.562748573310685
3,Kalutara,holdout,direct,101,20.494322254459817,0.41423548710558555,30.82749669627054
