District,n_rows,n_defined,outbreak_pct,candidate,parameter,k,pooled_outbreak_pct,pooled_n_defined,pooled_n_undefined,pooled_pct_undefined
Jaffna,1018.0,862.0,26.798143851508122,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Kalutara,1018.0,862.0,27.610208816705335,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Kandy,1018.0,862.0,21.34570765661253,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Kegalle,1018.0,862.0,16.937354988399072,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Kilinochchi,1018.0,861.0,23.34494773519164,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Kurunegala,1018.0,862.0,17.51740139211137,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Mannar,1018.0,862.0,14.153132250580047,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Matale,1018.0,862.0,15.31322505800464,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Matara,1018.0,862.0,19.02552204176334,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Monaragala,1018.0,862.0,18.561484918793504,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Mullaitivu,1018.0,861.0,21.022067363530777,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Nuwara Eliya,1018.0,862.0,18.561484918793504,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Polonnaruwa,1018.0,862.0,19.489559164733176,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Puttalam,1018.0,862.0,14.849187935034802,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Ratnapura,1018.0,862.0,25.986078886310903,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Trincomalee,1018.0,862.0,20.99767981438515,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Vavuniya,1018.0,862.0,13.57308584686775,windowed,2,1.5,20.39168368294041,21548,3902,15.332023575638507
Ampara,1018.0,862.0,13.45707656612529,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Anuradhapura,1018.0,862.0,10.556844547563806,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Badulla,1018.0,862.0,19.37354988399072,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Batticaloa,1018.0,862.0,17.51740139211137,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Colombo,1018.0,862.0,21.57772621809745,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Galle,1018.0,862.0,23.54988399071926,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Gampaha,1018.0,862.0,15.777262180974477,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Hambantota,1018.0,862.0,15.4292343387471,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Jaffna,1018.0,862.0,22.389791183294662,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Kalutara,1018.0,862.0,21.11368909512761,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Kandy,1018.0,862.0,16.82134570765661,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Kegalle,1018.0,862.0,13.225058004640372,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Kilinochchi,1018.0,861.0,20.092915214866434,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
Kurunegala,1018.0,862.0,13.109048723897912,windowed,2,2.0,16.261369964729905,21548,3902,15.332023575638507
