threshold,precision,recall,f1,f2,f0_5,accuracy
0.66,0.8629807692307693,0.30868443680137575,0.45471817606079795,0.3541831097079716,0.63494870887867,0.9444516129032258
0.67,0.8650602409638555,0.30868443680137575,0.4550063371356148,0.3542530096704164,0.6358483882394615,0.944516129032258
0.68,0.8650602409638555,0.30868443680137575,0.4550063371356148,0.3542530096704164,0.6358483882394615,0.944516129032258
0.6900000000000001,0.8650602409638555,0.30868443680137575,0.4550063371356148,0.3542530096704164,0.6358483882394615,0.944516129032258
0.7000000000000001,0.8650602409638555,0.30868443680137575,0.4550063371356148,0.3542530096704164,0.6358483882394615,0.944516129032258
0.7100000000000001,0.8647342995169082,0.30782459157351677,0.45402663284717815,0.3533359652585866,0.6349769421780772,0.9444516129032258
0.72,0.8647342995169082,0.30782459157351677,0.45402663284717815,0.3533359652585866,0.6349769421780772,0.9444516129032258
0.73,0.8647342995169082,0.30782459157351677,0.45402663284717815,0.3533359652585866,0.6349769421780772,0.9444516129032258
0.74,0.8710462287104623,0.30782459157351677,0.4548919949174079,0.3535453288564092,0.6376914855717848,0.9446451612903226
0.75,0.8793969849246231,0.3009458297506449,0.4484304932735426,0.3465346534653465,0.6352087114337569,0.9444516129032258
0.76,0.8983516483516484,0.28116938950988823,0.4282907662082515,0.32595693779904306,0.6242840778923253,0.9436774193548387
0.77,0.8983516483516484,0.28116938950988823,0.4282907662082515,0.32595693779904306,0.6242840778923253,0.9436774193548387
0.78,0.8983516483516484,0.28116938950988823,0.4282907662082515,0.32595693779904306,0.6242840778923253,0.9436774193548387
0.79,0.9142857142857143,0.2751504729148753,0.42300066093853267,0.31987205117952816,0.6242684354272336,0.9436774193548387
0.8,0.9271137026239067,0.27343078245915736,0.4223107569721116,0.31831831831831836,0.6272189349112426,0.9438709677419355
0.81,0.9269005847953217,0.2725709372312984,0.4212624584717608,0.31738085702843416,0.6262346898459108,0.9438064516129032
0.8200000000000001,0.9269005847953217,0.2725709372312984,0.4212624584717608,0.31738085702843416,0.6262346898459108,0.9438064516129032
0.8300000000000001,0.9269005847953217,0.2725709372312984,0.4212624584717608,0.31738085702843416,0.6262346898459108,0.9438064516129032
0.8400000000000001,0.9266862170087976,0.2717110920034394,0.42021276595744683,0.31644302022831966,0.6252473288484369,0.943741935483871
0.85,0.9264705882352942,0.2708512467755804,0.4191616766467066,0.3155048076923077,0.6242568370986921,0.9436774193548387
0.86,0.8735632183908046,0.13069647463456577,0.22737471952131635,0.15748031496062992,0.4088219472834858,0.9333548387096774
0.87,0.8786127167630058,0.13069647463456577,0.2275449101796407,0.15751295336787563,0.4097035040431266,0.9334193548387096
0.88,0.8786127167630058,0.13069647463456577,0.2275449101796407,0.15751295336787563,0.4097035040431266,0.9334193548387096
0.89,0.877906976744186,0.1298366294067068,0.22621722846441947,0.1565091210613599,0.4078876283090222,0.9333548387096774
0.9,0.877906976744186,0.1298366294067068,0.22621722846441947,0.1565091210613599,0.4078876283090222,0.9333548387096774
0.91,0.8787878787878788,0.12467755803955288,0.21837349397590364,0.15050861532073906,0.39769610532089966,0.9330322580645162
0.92,0.8787878787878788,0.12467755803955288,0.21837349397590364,0.15050861532073906,0.39769610532089966,0.9330322580645162
0.93,0.891156462585034,0.11263972484952708,0.19999999999999998,0.13648676807668264,0.37407195888063965,0.9323870967741935
0.9400000000000001,0.903448275862069,0.11263972484952708,0.20030581039755355,0.13654367312903898,0.37578886976477344,0.9325161290322581
0.9500000000000001,0.9126984126984127,0.09888220120378331,0.17843289371605897,0.12034323984930934,0.34493101379724056,0.9316774193548387
0.9600000000000001,0.9339622641509434,0.08512467755803955,0.15602836879432624,0.10403530895334175,0.31190926275992437,0.9309032258064516
0.97,0.9354838709677419,0.07480653482373173,0.13853503184713375,0.0916754478398314,0.28338762214983715,0.9301935483870968
0.98,0.9325842696629213,0.07136715391229578,0.1325878594249201,0.08753427546931027,0.27320605661619485,0.9299354838709677
0.99,0.9625,0.06620808254514188,0.12389380530973454,0.08136094674556213,0.2596089008766015,0.929741935483871
