District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code),Estimated_Population,Source_Type,elevation_m
Vavuniya,2014,6,2014-02-01,2014-02-07,0,2.9,2.9,76.85714285714286,93.42857142857144,55.71428571428572,28.6,20.75714285714286,26.61428571428572,31.47142857142857,23.414285714285715,24.24285714285714,2.0,172148,interpolated,104.0
Vavuniya,2014,7,2014-02-08,2014-02-14,1,0.0,0.0,70.28571428571429,93.0,44.85714285714285,30.071428571428573,19.7,26.62857142857143,32.72857142857143,21.985714285714288,24.52857142857143,3.0,172148,interpolated,104.0
Vavuniya,2014,8,2014-02-15,2014-02-21,5,1.2,1.2,74.71428571428571,91.42857142857144,54.142857142857146,30.571428571428573,22.885714285714283,29.514285714285712,34.08571428571428,26.542857142857144,26.3,3.0,172148,interpolated,104.0
Vavuniya,2014,9,2014-02-22,2014-02-28,1,8.7,8.7,75.71428571428571,92.28571428571428,54.71428571428572,30.61428571428572,22.842857142857145,29.2,33.9,26.414285714285715,26.185714285714287,51.0,172148,interpolated,104.0
Vavuniya,2014,10,2014-03-01,2014-03-07,2,4.3,4.3,72.42857142857143,91.42857142857144,50.42857142857143,31.385714285714283,23.071428571428573,29.642857142857142,34.65714285714286,26.857142857142858,26.7,3.0,172148,interpolated,104.0
Vavuniya,2014,11,2014-03-08,2014-03-14,1,0.2,0.2,66.14285714285714,85.42857142857143,43.285714285714285,31.82857142857143,23.071428571428573,28.87142857142857,33.67142857142857,26.214285714285715,26.82857142857143,3.0,172148,interpolated,104.0
Vavuniya,2014,12,2014-03-15,2014-03-21,0,9.1,9.1,71.0,90.28571428571428,46.71428571428572,32.957142857142856,23.82857142857143,30.87142857142857,36.07142857142857,27.928571428571427,27.65714285714285,51.0,172148,interpolated,104.0
Vavuniya,2014,13,2014-03-22,2014-03-28,0,0.1,0.1,68.71428571428571,95.0,34.42857142857143,34.785714285714285,23.571428571428573,31.571428571428573,37.35714285714285,27.928571428571427,28.257142857142856,3.0,172148,interpolated,104.0
Vavuniya,2014,14,2014-03-29,2014-04-04,0,0.0,0.0,62.0,92.71428571428572,27.714285714285715,36.67142857142857,23.4,32.528571428571425,39.6,27.542857142857144,29.3,3.0,172148,interpolated,104.0
Vavuniya,2014,15,2014-04-05,2014-04-11,0,35.0,35.0,73.85714285714286,92.42857142857144,47.57142857142857,33.92857142857143,24.75714285714286,33.24285714285714,39.6,29.414285714285715,28.485714285714288,63.0,172148,interpolated,104.0
